28.08.2025                                                                               Dynamische Listenausgabe                                                                                       1

Testovací reim

	Var.plánu	Typ obj.	ID objektu	Subtyp	Platí od	Platí do	Jazyk	Øetìzec

	01	ZP	  90003176	0001	01.01.1800	31.12.9999	CS	akce
	01	ZP	  90003177	0001	01.01.1800	31.12.9999	CS	cíle a priority
	01	ZP	  90003178	0001	01.01.1800	31.12.9999	CS	organizaèní úpravy
	01	ZP	  90003180	0001	01.01.1800	31.12.9999	CS	funkèní schema
	01	ZP	  90003181	0001	01.01.1800	31.12.9999	CS	interní podpisová oprávnìní
	01	ZP	  90003188	0001	01.01.1800	31.12.9999	CS	organizaèní strukturu
	01	ZP	  90003193	0001	01.01.1800	31.12.9999	CS	popisy práce FM
	01	ZP	  90003254	0001	01.01.1800	31.12.9999	CS	styk s externími institucemi a organizacemi
	01	ZP	  90003266	0001	01.01.1800	31.12.9999	CS	èasovı management
	01	ZP	  90003272	0001	01.01.1800	31.12.9999	CS	èinnosti v oblasti ochrannıch známek
	01	ZP	  90003273	0001	01.01.1800	31.12.9999	CS	èleny projektového tımu
	01	ZP	  90003276	0001	01.01.1800	31.12.9999	CS	informování a motivování zamìstnancù
	01	ZP	  90003278	0001	01.01.1800	31.12.9999	CS	instruktá zamìstnancù dané oblasti
	01	ZP	  90003280	0001	01.01.1800	31.12.9999	CS	meziútvarové aktivity a úkoly pro zahranièní projekty
	01	ZP	  90003281	0001	01.01.1800	31.12.9999	CS	nasazení personálu v mimoøádnıch situacích
	01	ZP	  90003289	0001	01.01.1800	31.12.9999	CS	plnìní úkolù ze zasedání
	01	ZP	  90003291	0001	01.01.1800	31.12.9999	CS	podpisová oprávnìní
	01	ZP	  90003292	0001	01.01.1800	31.12.9999	CS	podøízené zamìstnance
	01	ZP	  90003293	0001	01.01.1800	31.12.9999	CS	podøízenım zamìstnancùm pracovní úkoly
	01	ZP	  90003294	0001	01.01.1800	31.12.9999	CS	práci podøízenıch zamìstnancù
	01	ZP	  90003295	0001	01.01.1800	31.12.9999	CS	pracovní a technologickou kázeò
	01	ZP	  90003303	0001	01.01.1800	31.12.9999	CS	spolupráci s externími organizacemi
	01	ZP	  90003305	0001	01.01.1800	31.12.9999	CS	spolupráci s vıvojovımi partnery
